retired_dataset_id,retired_name,replacement_dataset_id,replacement_name,replacement_path
ord_dataset-a0eff6fe4b4143f284f0fc5ac503acad,uspto-grants-1976_01,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-a0bc986c3cf848c2a1ea93b297d1ad89,uspto-grants-1976_02,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-15ce1bcfb62046d9bec87d32620888d5,uspto-grants-1976_03,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-a5669edbeffe43bf8514c1bfede8f882,uspto-grants-1976_04,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-653be8036d754ce7b8a1c4cd419eaf55,uspto-grants-1976_05,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-ad879e603f9440f6bfb7fbd18e5e8761,uspto-grants-1976_06,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-53cd7fd33c6f4f1c804e187bec94be57,uspto-grants-1976_07,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-7c810806c4564bada4a9550135bbb06f,uspto-grants-1976_08,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-a0071d97083e4e69ae8872417ed2776b,uspto-grants-1976_09,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-7f88a5da29d74264aae5239be74b3981,uspto-grants-1976_10,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-b971427c0b944c56b63bb2356fa8ca69,uspto-grants-1976_11,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-d625331704b34593871e69cd09a5cd83,uspto-grants-1976_12,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-8ca24382d55b4303bc34393399f4110e,uspto-grants-1977_01,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-2a1960001e7d4e89987253631df1362a,uspto-grants-1977_02,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-39f318aa6ec5450182abaf3662294306,uspto-grants-1977_03,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-19b9e29d593f4660ab77c07b459da9bb,uspto-grants-1977_04,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-fcf7c02bbb814fe696760b5fbfee16bb,uspto-grants-1977_05,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-2ada3fda46fc44719ba0c8001f53c1b3,uspto-grants-1977_06,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-14866e68bb5b47f5929457eecb4eb3a5,uspto-grants-1977_07,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-2cb52357eb5f43c2be56ad5c0662f18f,uspto-grants-1977_08,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-dc78376bd0a946d1a5a41eec30282b7d,uspto-grants-1977_09,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-56c07ce5503b46d1805bdf471f8f1c55,uspto-grants-1977_10,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-8f61d01cf5b34e85a3ccc89f8901797b,uspto-grants-1977_11,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-2e96d163c3f64eb5b470e1ea1a41922a,uspto-grants-1977_12,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-c8db783fb93842e89cdcd41afa59a141,uspto-grants-1978_01,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-3e699bae9dce4a0f996c34a7c5a4b79a,uspto-grants-1978_02,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-b0ddd49dad024fc7a23ae6f474f9c52f,uspto-grants-1978_03,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-de10a15943a54ac7a3c3e1c774d21392,uspto-grants-1978_04,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-2345345e84034af393f969fc5e7741b6,uspto-grants-1978_05,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-48929f64ce614f1181a555eafd7c97a6,uspto-grants-1978_06,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-4c8627b52d564809adb9b494879c07c0,uspto-grants-1978_07,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-ff0bcb6c2300494cbdf16005ad32ad5f,uspto-grants-1978_08,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-becaf7dc22c44672b22e4b94335cbf08,uspto-grants-1978_09,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-6d529f04a1724b5d85dcc290cf4c38bb,uspto-grants-1978_10,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-b43eb0158fd54801957aaa07bbdf3057,uspto-grants-1978_11,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-0bb2e99daa66408fb8dbd6a0781d241c,uspto-grants-1978_12,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-e5870fef54544989915ccced8dd8d849,uspto-grants-1979_01,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-8881493772e04c4b9495fc2114379967,uspto-grants-1979_02,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-3d470a6df4a04b1996e024a38c53e818,uspto-grants-1979_03,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-053897d9b1744303b2fdfe3e796ca27b,uspto-grants-1979_04,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-159c363342e44b539e7a5975c873e30d,uspto-grants-1979_05,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-12a0ec4f3cda46e2badc694da2072c39,uspto-grants-1979_06,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-56a7c92b497c48c59951f153285b4adc,uspto-grants-1979_07,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-1590b34936164499aa4ed4fe0ef21255,uspto-grants-1979_08,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-cb9f452f8418479ab5fd99c835dbe015,uspto-grants-1979_09,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-28b19b59e93c47698a5a2b21048ec201,uspto-grants-1979_10,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-09e9a37ee5794dc28c0ad7bf7a442c18,uspto-grants-1979_11,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-912d62c1690b4ebfbe998c0c9baf88a8,uspto-grants-1979_12,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
